000531.SZ,穗恒运A,电力及公用事业,5261436057.6000 ,2.0947 ,-49.3800 ,81.1042 ,7.5630 ,-8.7240 
000532.SZ,华金资本,电子,3895204242.0000 ,7.1442 ,-0.2279 ,61.7070 ,-7.3011 ,-5.4867 
000533.SZ,顺钠股份,家电,2293509120.0000 ,-88.3943 ,-1941.5687 ,116.0388 ,-6.2147 ,-12.3494 
000534.SZ,万泽股份,房地产,5434225310.8000 ,4.0015 ,-44.8488 ,19.6052 ,6.8665 ,-16.8326 
000536.SZ,华映科技,电子,7938514144.6100 ,-49.2414 ,-2612.1920 ,115.1294 ,-15.3392 ,-5.9233 
000537.SZ,广宇发展,房地产,15309920318.4000 ,24.6021 ,12.8330 ,75.9912 ,-10.7492 ,-14.3552 
000538.SZ,云南白药,医药,92163875043.0000 ,17.4860 ,5.0187 ,16.1483 ,3.5088 ,-12.2147 
000539.SZ,粤电力A,电力及公用事业,22098433733.6568 ,1.9801 ,-20.0070 ,11.6388 ,-7.7079 ,-6.8132 
000540.SZ,中天金融,房地产,31873908789.4500 ,8.8624 ,-32.4307 ,35.7213 ,-1.5152 ,-14.0659 
000541.SZ,佛山照明,家电,7401961910.7126 ,8.3007 ,-49.1633 ,20.5517 ,-0.6689 ,-9.4595 
000543.SZ,皖能电力,电力及公用事业,9166827407.3600 ,5.5815 ,706.7144 ,20.3499 ,-4.6555 ,-8.9758 
000544.SZ,中原环保,电力及公用事业,6121018584.6400 ,7.3612 ,28.4650 ,43.0009 ,1.1272 ,-0.7962 
000545.SZ,金浦钛业,基础化工,3897990729.2000 ,5.0305 ,-38.4633 ,41.8625 ,1.8041 ,0.7595 
000546.SZ,金圆股份,建材,7396569498.6000 ,10.5728 ,10.7696 ,23.7140 ,3.8114 ,-6.2802 
000547.SZ,航天发展,国防军工,15880164133.0900 ,7.3107 ,58.9398 ,43.3603 ,-9.6804 ,-0.2022 
000548.SZ,湖南投资,房地产,2411212367.1300 ,2.4330 ,-74.7473 ,41.1890 ,-8.1749 ,-6.4263 
000550.SZ,江铃汽车,汽车,16781969825.6000 ,0.8001 ,-86.7089 ,19.2679 ,18.3781 ,3.8719 
000551.SZ,创元科技,电力设备及新能源,2976598213.2000 ,5.3215 ,15.5757 ,66.1038 ,0.1346 ,-9.5430 
000552.SZ,靖远煤电,煤炭,6929522281.5000 ,8.0855 ,3.7391 ,45.4293 ,-3.1949 ,-7.9208 
